API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Retrieve Weather Forecast Data from Latitude and Longitude,"Use this to get weather forecast for a latitude and longitude.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Retrieve Historical Weather for A Field,"Use this to get weather data of a past days.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#retrie...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Retrieve Present Weather Data,"Use this to get weather data of the present day.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#r...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Retrieve A Past Weather Graph,"Use this to get weather graph of a past day.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#retrie...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Request Historical Satellite Data,"Use this to get a historical data of the field.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#reqprevio...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Retrieve Yield Estimates of a Field,"Use this to to get the yield estimate of a field.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-doc...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Pause Field Monitoring,"Use this to pause the monitoring of the field.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#pausefil...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Get Field Area By Boundary Points,"Use this to get field area by boundary points.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#fiel...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Modify Field Coordinates of Already Submitted Field,"Use this to modify field coordinates of already submitted field.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-d...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Submit New Farm/Plot,"Submit New Farm/Plot using this API.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#submitnewfarmplot<...",,[{}],[{}]
Farmonaut Satellite and Weather Data,https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,farmonaut-satellite-and-weather-data1.p.rapidapi.com,POST:Get Single Farm Data,"Retrieve Information About a single farm/farmer.
For more information visit: https://farmonaut.com/farmonaut-satellite-weather-api-developer-docs/#ret...",,[{}],[{}]
Web Monitoring Service,https://rapidapi.com/ai-box-ai-box-default/api/web-monitoring-service/,web-monitoring-service.p.rapidapi.com,POST:Subscribe (ULTRA plan),"We adopt push technology to send result instantly to your url endpoint for your further process when our monitoring system detected specific keyword content publishing on the web , you will receive notification with list of details via email. Feel free to email us at a...",,[{}],[{}]
Web Monitoring Service,https://rapidapi.com/ai-box-ai-box-default/api/web-monitoring-service/,web-monitoring-service.p.rapidapi.com,POST:Subscribe (MEGA plan),"We adopt push technology to send result instantly to your url endpoint for your further process when our monitoring system detected specific keyword content publishing on the web , you will receive notification with list of details via email. Feel free to email us at a...",,[{}],[{}]
Web Monitoring Service,https://rapidapi.com/ai-box-ai-box-default/api/web-monitoring-service/,web-monitoring-service.p.rapidapi.com,POST:Subscribe (PRO plan),"We adopt push technology to send result instantly to your url endpoint for your further process when our monitoring system detected specific keyword content publishing on the web , you will receive notification with list of details via email. Feel free to email us at a...",,[{}],[{}]
